x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.007,True,1.0,0.007,2025-09-15 13:42:13.068,2025-09-15 13:42:22.962,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y0mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y0mm_ocr.csv,18,"1018, 1077, 1096, 1076, 1084, 1084, 1076, 1031, 1046, 1022, 1077, 1152",1069.92,12,"13:42:15, 13:42:16, 13:42:16, 13:42:17, 13:42:17, 13:42:18, 13:42:18, 13:42:19, 13:42:19, 13:42:20, 13:42:20, 13:42:21"
0.35,0.001,0.007,True,1.0,0.00707,2025-09-15 13:42:22.965,2025-09-15 13:42:32.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y1mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y1mm_ocr.csv,18,"1119, 1099, 1090, 1096, 1083, 1065, 1062, 1070, 1051, 985, 1037, 1070",1068.92,12,"13:42:24, 13:42:25, 13:42:25, 13:42:26, 13:42:26, 13:42:27, 13:42:27, 13:42:28, 13:42:28, 13:42:29, 13:42:29, 13:42:30"
0.35,0.002,0.007,True,1.0,0.00728,2025-09-15 13:42:32.233,2025-09-15 13:42:41.497,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y2mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y2mm_ocr.csv,18,"1078, 1029, 1045, 1090, 1053, 1054, 1004, 995, 1044, 1059, 1089, 1074",1051.17,12,"13:42:34, 13:42:34, 13:42:35, 13:42:35, 13:42:36, 13:42:36, 13:42:37, 13:42:37, 13:42:38, 13:42:38, 13:42:39, 13:42:39"
0.35,0.003,0.007,True,1.0,0.00762,2025-09-15 13:42:41.501,2025-09-15 13:42:50.764,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y3mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y3mm_ocr.csv,18,"991, 1051, 1078, 1017, 1016, 1011, 1002, 1046, 1033, 1080, 1048, 1029",1033.50,12,"13:42:43, 13:42:43, 13:42:44, 13:42:44, 13:42:45, 13:42:45, 13:42:46, 13:42:46, 13:42:47, 13:42:47, 13:42:48, 13:42:48"
0.35,0.004,0.007,True,1.0,0.00806,2025-09-15 13:42:50.767,2025-09-15 13:43:00.029,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y4mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y4mm_ocr.csv,18,"1105, 1100, 1083, 1049, 996, 1027, 996, 996, 1015, 997, 1030, 1079",1039.42,12,"13:42:52, 13:42:53, 13:42:53, 13:42:54, 13:42:54, 13:42:55, 13:42:55, 13:42:56, 13:42:56, 13:42:57, 13:42:57, 13:42:58"
0.35,0.005,0.007,True,1.0,0.0086,2025-09-15 13:43:00.032,2025-09-15 13:43:09.296,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y5mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y5mm_ocr.csv,18,"980, 942, 962, 962, 1000, 1004, 966, 989, 990, 965, 972, 942",972.83,12,"13:43:01, 13:43:02, 13:43:02, 13:43:03, 13:43:03, 13:43:04, 13:43:04, 13:43:05, 13:43:05, 13:43:06, 13:43:06, 13:43:07"
0.35,0.006,0.007,True,1.0,0.00922,2025-09-15 13:43:09.299,2025-09-15 13:43:18.563,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y6mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y6mm_ocr.csv,18,"819, 839, 839, 753, 753, 758, 760, 771, 797, 811, 778, 751",785.75,12,"13:43:11, 13:43:11, 13:43:12, 13:43:12, 13:43:13, 13:43:13, 13:43:14, 13:43:14, 13:43:15, 13:43:15, 13:43:16, 13:43:16"
0.35,0.007,0.007,True,1.0,0.0099,2025-09-15 13:43:18.568,2025-09-15 13:43:27.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y7mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y7mm_ocr.csv,18,"656, 618, 610, 612, 637, 638, 634, 604, 598, 626, 594, 605",619.33,12,"13:43:20, 13:43:20, 13:43:21, 13:43:21, 13:43:22, 13:43:22, 13:43:23, 13:43:23, 13:43:24, 13:43:24, 13:43:25, 13:43:25"
0.35,0.008,0.007,True,1.0,0.01063,2025-09-15 13:43:27.834,2025-09-15 13:43:37.095,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y8mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y8mm_ocr.csv,18,"452, 431, 431, 485, 423, 449, 466, 415, 412, 422, 413, 419",434.83,12,"13:43:29, 13:43:30, 13:43:30, 13:43:31, 13:43:31, 13:43:32, 13:43:32, 13:43:33, 13:43:33, 13:43:34, 13:43:34, 13:43:35"
0.35,0.009000000000000001,0.007,True,1.0,0.0114,2025-09-15 13:43:37.098,2025-09-15 13:43:46.364,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y9mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y9mm_ocr.csv,18,"348, 296, 278, 289, 286, 315, 298, 271, 248, 283, 305, 290",292.25,12,"13:43:38, 13:43:39, 13:43:39, 13:43:40, 13:43:40, 13:43:41, 13:43:41, 13:43:42, 13:43:42, 13:43:43, 13:43:43, 13:43:44"
0.35,0.01,0.007,True,1.0,0.01221,2025-09-15 13:43:46.367,2025-09-15 13:43:55.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y10mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y10mm_ocr.csv,18,"208, 177, 180, 168, 161, 158, 155, 166, 166, 175, 185, 195",174.50,12,"13:43:48, 13:43:48, 13:43:49, 13:43:49, 13:43:50, 13:43:50, 13:43:51, 13:43:51, 13:43:52, 13:43:52, 13:43:53, 13:43:53"
0.35,0.011,0.007,True,1.0,0.01304,2025-09-15 13:43:55.634,2025-09-15 13:44:04.897,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y11mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y11mm_ocr.csv,18,"411, 98, 99, 94, 88, 99, 92, 87, 92, 92, 7, 103",113.50,12,"13:43:57, 13:43:57, 13:43:58, 13:43:58, 13:43:59, 13:43:59, 13:44:00, 13:44:00, 13:44:01, 13:44:01, 13:44:02, 13:44:02"
0.35,0.012,0.007,True,1.0,0.01389,2025-09-15 13:44:04.900,2025-09-15 13:44:14.164,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y12mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y12mm_ocr.csv,18,"72, 39, 36, 36, 46, 46, 46, 40, 38, 50, 59, 49",46.42,12,"13:44:06, 13:44:07, 13:44:07, 13:44:08, 13:44:08, 13:44:09, 13:44:09, 13:44:10, 13:44:10, 13:44:11, 13:44:11, 13:44:12"
0.35,0.013000000000000001,0.007,True,1.0,0.01476,2025-09-15 13:44:14.167,2025-09-15 13:44:23.431,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y13mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y13mm_ocr.csv,18,"29, 417, 21, 15, 15, 0, 12, 16, 22, 417, 14, 20",83.17,12,"13:44:15, 13:44:16, 13:44:16, 13:44:17, 13:44:17, 13:44:18, 13:44:18, 13:44:19, 13:44:19, 13:44:20, 13:44:20, 13:44:21"
0.35,0.014,0.007,True,1.0,0.01565,2025-09-15 13:44:23.435,2025-09-15 13:44:32.698,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y14mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y14mm_ocr.csv,18,"8, 6, 4, 5, 6, 4, 4, 3, 6, 7, 4, 3",5.00,12,"13:44:25, 13:44:25, 13:44:26, 13:44:26, 13:44:27, 13:44:27, 13:44:28, 13:44:28, 13:44:29, 13:44:29, 13:44:30, 13:44:30"
0.35,0.015,0.007,True,1.0,0.01655,2025-09-15 13:44:32.701,2025-09-15 13:44:41.963,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y15mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y15mm_ocr.csv,18,"2, 3, 3, 3, 3, 4, 2, 1, 3, 5, 6, 5",3.33,12,"13:44:34, 13:44:35, 13:44:35, 13:44:36, 13:44:36, 13:44:37, 13:44:37, 13:44:38, 13:44:38, 13:44:39, 13:44:39, 13:44:40"
0.35,0.016,0.007,True,1.0,0.01746,2025-09-15 13:44:41.966,2025-09-15 13:44:51.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y16mm_ocr.csv,18,"0, 3, 1, 1, 4, 4, 3, 2, 2, 3, 2, 2",2.25,12,"13:44:43, 13:44:44, 13:44:44, 13:44:45, 13:44:45, 13:44:46, 13:44:46, 13:44:47, 13:44:47, 13:44:48, 13:44:48, 13:44:49"
0.35,0.017,0.007,True,1.0,0.01838,2025-09-15 13:44:51.236,2025-09-15 13:45:00.496,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y17mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y17mm_ocr.csv,18,"2, 2, 1, 0, 1, 1, 0, 2, 2, 1, 0, 0",1.00,12,"13:44:53, 13:44:53, 13:44:54, 13:44:54, 13:44:55, 13:44:55, 13:44:56, 13:44:56, 13:44:57, 13:44:57, 13:44:58, 13:44:58"
0.35,0.018000000000000002,0.007,True,1.0,0.01931,2025-09-15 13:45:00.499,2025-09-15 13:45:09.762,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y18mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y18mm_ocr.csv,18,"0, 1, 2, 2, 1, 0, 0, 1, 1, 2, 0, 0",0.83,12,"13:45:02, 13:45:02, 13:45:03, 13:45:03, 13:45:04, 13:45:04, 13:45:05, 13:45:05, 13:45:06, 13:45:06, 13:45:07, 13:45:07"
0.35,0.019,0.007,True,1.0,0.02025,2025-09-15 13:45:09.766,2025-09-15 13:45:19.029,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y19mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y19mm_ocr.csv,18,"3, 3, 2, 0, 0, 0, 0, 1, 2, 1, 1, 1",1.17,12,"13:45:11, 13:45:12, 13:45:12, 13:45:13, 13:45:13, 13:45:14, 13:45:14, 13:45:15, 13:45:15, 13:45:16, 13:45:16, 13:45:17"
0.35,0.02,0.007,True,1.0,0.02119,2025-09-15 13:45:19.033,2025-09-15 13:45:28.298,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y20mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y20mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0",0.25,12,"13:45:20, 13:45:21, 13:45:21, 13:45:22, 13:45:22, 13:45:23, 13:45:23, 13:45:24, 13:45:24, 13:45:25, 13:45:25, 13:45:26"
0.35,0.021,0.007,True,1.0,0.02214,2025-09-15 13:45:28.300,2025-09-15 13:45:37.564,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y21mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y21mm_ocr.csv,18,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1",0.17,12,"13:45:30, 13:45:30, 13:45:31, 13:45:31, 13:45:32, 13:45:32, 13:45:33, 13:45:33, 13:45:34, 13:45:34, 13:45:35, 13:45:35"
0.35,0.022,0.007,True,1.0,0.02309,2025-09-15 13:45:37.567,2025-09-15 13:45:46.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y22mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y22mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0",0.17,12,"13:45:39, 13:45:39, 13:45:40, 13:45:40, 13:45:41, 13:45:41, 13:45:42, 13:45:42, 13:45:43, 13:45:43, 13:45:44, 13:45:44"
0.35,0.023,0.007,True,1.0,0.02404,2025-09-15 13:45:46.835,2025-09-15 13:45:56.098,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y23mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y23mm_ocr.csv,18,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1",0.17,12,"13:45:48, 13:45:49, 13:45:49, 13:45:50, 13:45:50, 13:45:51, 13:45:51, 13:45:52, 13:45:52, 13:45:53, 13:45:53, 13:45:54"
0.35,0.024,0.007,True,1.0,0.025,2025-09-15 13:45:56.101,2025-09-15 13:46:05.364,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y24mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y24mm_ocr.csv,18,"1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1",0.33,12,"13:45:57, 13:45:58, 13:45:58, 13:45:59, 13:45:59, 13:46:00, 13:46:00, 13:46:01, 13:46:01, 13:46:02, 13:46:02, 13:46:03"
0.35,0.025,0.007,True,1.0,0.02596,2025-09-15 13:46:05.367,2025-09-15 13:46:14.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y25mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y25mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"13:46:07, 13:46:07, 13:46:08, 13:46:08, 13:46:09, 13:46:09, 13:46:10, 13:46:10, 13:46:11, 13:46:11, 13:46:12, 13:46:12"
0.35,0.026000000000000002,0.007,True,1.0,0.02693,2025-09-15 13:46:14.635,2025-09-15 13:46:23.896,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y26mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y26mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1",0.08,12,"13:46:16, 13:46:16, 13:46:17, 13:46:17, 13:46:18, 13:46:18, 13:46:19, 13:46:19, 13:46:20, 13:46:20, 13:46:21, 13:46:21"
0.35,0.027,0.007,True,1.0,0.02789,2025-09-15 13:46:23.899,2025-09-15 13:46:33.164,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y27mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y27mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"13:46:25, 13:46:26, 13:46:26, 13:46:27, 13:46:27, 13:46:28, 13:46:28, 13:46:29, 13:46:29, 13:46:30, 13:46:30, 13:46:31"
0.35,0.028,0.007,True,1.0,0.02886,2025-09-15 13:46:33.167,2025-09-15 13:46:42.431,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y28mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y28mm_ocr.csv,18,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.08,12,"13:46:34, 13:46:35, 13:46:35, 13:46:36, 13:46:36, 13:46:37, 13:46:38, 13:46:38, 13:46:38, 13:46:39, 13:46:39, 13:46:40"
0.35,0.029,0.007,True,1.0,0.02983,2025-09-15 13:46:42.434,2025-09-15 13:46:51.696,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y29mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y29mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"13:46:44, 13:46:44, 13:46:45, 13:46:45, 13:46:46, 13:46:46, 13:46:47, 13:46:47, 13:46:48, 13:46:48, 13:46:49, 13:46:49"
0.35,0.03,0.007,True,1.0,0.03081,2025-09-15 13:46:51.699,2025-09-15 13:47:00.964,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y30mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y30mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"13:46:53, 13:46:54, 13:46:54, 13:46:55, 13:46:55, 13:46:56, 13:46:56, 13:46:57, 13:46:57, 13:46:58, 13:46:58, 13:46:59"
0.35,0.031,0.007,True,1.0,0.03178,2025-09-15 13:47:00.968,2025-09-15 13:47:10.229,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y31mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y31mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"13:47:02, 13:47:03, 13:47:03, 13:47:04, 13:47:04, 13:47:05, 13:47:05, 13:47:06, 13:47:06, 13:47:07, 13:47:07, 13:47:08"
0.35,0.032,0.007,True,1.0,0.03276,2025-09-15 13:47:10.233,2025-09-15 13:47:19.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y32mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y32mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"13:47:12, 13:47:12, 13:47:13, 13:47:13, 13:47:14, 13:47:14, 13:47:15, 13:47:15, 13:47:16, 13:47:16, 13:47:17, 13:47:17"
0.35,0.033,0.007,True,1.0,0.03373,2025-09-15 13:47:19.500,2025-09-15 13:47:28.764,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y33mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y33mm_ocr.csv,18,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.08,12,"13:47:21, 13:47:21, 13:47:22, 13:47:22, 13:47:23, 13:47:23, 13:47:24, 13:47:24, 13:47:25, 13:47:25, 13:47:26, 13:47:26"
0.35,0.034,0.007,True,1.0,0.03471,2025-09-15 13:47:28.768,2025-09-15 13:47:38.029,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z7mm/x350mm_y34mm/raster_log_2025-09-15 13:28:53.262_z7mm_x350mm_y34mm_ocr.csv,18,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"13:47:30, 13:47:31, 13:47:31, 13:47:32, 13:47:32, 13:47:33, 13:47:33, 13:47:34, 13:47:34, 13:47:35, 13:47:35, 13:47:36"
