x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.002,True,1.0,0.002,2025-09-11 15:18:40.799,2025-09-11 15:18:46.965,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.001,0.002,True,1.0,0.00224,2025-09-11 15:18:46.970,2025-09-11 15:18:53.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.002,0.002,True,1.0,0.00283,2025-09-11 15:18:53.235,2025-09-11 15:18:59.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.003,0.002,True,1.0,0.00361,2025-09-11 15:18:59.501,2025-09-11 15:19:05.765,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.004,0.002,True,1.0,0.00447,2025-09-11 15:19:05.768,2025-09-11 15:19:12.030,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.005,0.002,True,1.0,0.00539,2025-09-11 15:19:12.033,2025-09-11 15:19:18.298,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.006,0.002,True,1.0,0.00632,2025-09-11 15:19:18.302,2025-09-11 15:19:24.564,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.007,0.002,True,1.0,0.00728,2025-09-11 15:19:24.567,2025-09-11 15:19:30.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.008,0.002,True,1.0,0.00825,2025-09-11 15:19:30.838,2025-09-11 15:19:37.098,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.009000000000000001,0.002,True,1.0,0.00922,2025-09-11 15:19:37.109,2025-09-11 15:19:43.364,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.01,0.002,True,1.0,0.0102,2025-09-11 15:19:43.367,2025-09-11 15:19:49.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
0.35,0.011,0.002,True,1.0,0.01118,2025-09-11 15:19:49.635,2025-09-11 15:19:55.897,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z2mm_1/raster_log_2025-09-11 15:18:38.786_z2mm_z2mm_1_ocr.csv,24,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,14,"15:29:08, 15:29:09, 15:29:09, 15:29:09, 15:29:09, 15:29:10, 15:29:10, 15:29:10, 15:29:10, 15:29:11, 15:29:11, 15:29:11, 15:29:11, 15:29:12"
