x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.0,0.003,True,1.0,0.003,2025-09-11 15:29:30.604,2025-09-11 15:29:37.714,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.001,0.003,True,1.0,0.00316,2025-09-11 15:29:37.717,2025-09-11 15:29:43.965,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.002,0.003,True,1.0,0.00361,2025-09-11 15:29:43.968,2025-09-11 15:29:50.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.003,0.003,True,1.0,0.00424,2025-09-11 15:29:50.234,2025-09-11 15:29:56.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.004,0.003,True,1.0,0.005,2025-09-11 15:29:56.502,2025-09-11 15:30:02.765,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.005,0.003,True,1.0,0.00583,2025-09-11 15:30:02.769,2025-09-11 15:30:09.032,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.006,0.003,True,1.0,0.00671,2025-09-11 15:30:09.042,2025-09-11 15:30:15.298,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.007,0.003,True,1.0,0.00762,2025-09-11 15:30:15.303,2025-09-11 15:30:21.565,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.008,0.003,True,1.0,0.00854,2025-09-11 15:30:21.573,2025-09-11 15:30:27.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.009000000000000001,0.003,True,1.0,0.00949,2025-09-11 15:30:27.835,2025-09-11 15:30:34.097,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
