idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-11T17:33:49.531857,0.0,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-49.531_000.png
2,2025-09-11T17:33:49.783229,0.251,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-49.782_001.png
3,2025-09-11T17:33:50.028333,0.501,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-50.027_002.png
4,2025-09-11T17:33:50.277897,0.75,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-50.277_003.png
5,2025-09-11T17:33:50.534796,1.0,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-50.534_004.png
6,2025-09-11T17:33:50.782203,1.251,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-50.781_005.png
7,2025-09-11T17:33:51.028398,1.501,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-51.027_006.png
8,2025-09-11T17:33:51.279207,1.751,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-51.278_007.png
9,2025-09-11T17:33:51.534144,2.001,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-51.533_008.png
10,2025-09-11T17:33:51.780843,2.25,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-51.780_009.png
11,2025-09-11T17:33:52.032127,2.5,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-52.031_010.png
12,2025-09-11T17:33:52.278610,2.75,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-52.278_011.png
13,2025-09-11T17:33:52.529961,3.001,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-52.529_012.png
14,2025-09-11T17:33:52.780973,3.251,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-52.780_013.png
15,2025-09-11T17:33:53.041192,3.501,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-53.040_014.png
16,2025-09-11T17:33:53.280408,3.751,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-53.279_015.png
17,2025-09-11T17:33:53.539318,4.001,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-53.538_016.png
18,2025-09-11T17:33:53.781984,4.25,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-53.781_017.png
19,2025-09-11T17:33:54.033236,4.501,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-54.032_018.png
20,2025-09-11T17:33:54.289311,4.751,o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z0mm/x350mm_y0mm/raster_log_2025-09-11 17:32:24.235_z0mm_x350mm_y0mm_2025-09-11_17-33-54.288_019.png
