idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-15T13:20:32.329246,0.0,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-32.328_000.png
2,2025-09-15T13:20:32.831448,0.5,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-32.830_001.png
3,2025-09-15T13:20:33.334029,1.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-33.333_002.png
4,2025-09-15T13:20:33.842566,1.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-33.842_003.png
5,2025-09-15T13:20:34.333113,2.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-34.332_004.png
6,2025-09-15T13:20:34.844679,2.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-34.844_005.png
7,2025-09-15T13:20:35.332257,3.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-35.331_006.png
8,2025-09-15T13:20:35.831012,3.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-35.830_007.png
9,2025-09-15T13:20:36.348728,4.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-36.348_008.png
10,2025-09-15T13:20:36.837433,4.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-36.836_009.png
11,2025-09-15T13:20:37.338884,5.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-37.338_010.png
12,2025-09-15T13:20:37.832100,5.502,0,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-37.831_011.png
13,2025-09-15T13:20:38.340493,6.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-38.339_012.png
14,2025-09-15T13:20:38.840165,6.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-38.839_013.png
15,2025-09-15T13:20:39.337413,7.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-39.336_014.png
16,2025-09-15T13:20:39.829892,7.501,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-39.829_015.png
17,2025-09-15T13:20:40.338092,8.0,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-40.337_016.png
18,2025-09-15T13:20:40.832243,8.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-40.831_017.png
19,2025-09-15T13:20:41.333013,9.0,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-41.332_018.png
20,2025-09-15T13:20:41.835646,9.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-41.835_019.png
21,2025-09-15T13:20:42.336076,10.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-42.335_020.png
22,2025-09-15T13:20:42.834315,10.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-42.833_021.png
23,2025-09-15T13:20:43.337375,11.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-43.336_022.png
24,2025-09-15T13:20:43.832830,11.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-43.832_023.png
25,2025-09-15T13:20:44.331913,12.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-44.331_024.png
26,2025-09-15T13:20:44.834816,12.501,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-44.834_025.png
27,2025-09-15T13:20:45.331340,13.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-45.330_026.png
28,2025-09-15T13:20:45.833588,13.501,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-45.832_027.png
29,2025-09-15T13:20:46.331901,14.001,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-46.331_028.png
30,2025-09-15T13:20:46.832160,14.501,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-46.831_029.png
31,2025-09-15T13:20:47.329669,15.0,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-47.329_030.png
32,2025-09-15T13:20:47.832500,15.5,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-47.832_031.png
33,2025-09-15T13:20:48.342905,16.002,0o,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-48.342_032.png
34,2025-09-15T13:20:48.839262,16.502,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-48.838_033.png
35,2025-09-15T13:20:49.331279,17.002,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-49.330_034.png
36,2025-09-15T13:20:49.832412,17.501,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-15 13:18:57.074_z50mm_x350mm_y0mm_2025-09-15_13-20-49.831_035.png
