x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.0,0.01,True,1.0,0.01,2025-09-15 14:12:27.017,2025-09-15 14:12:36.935,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y0mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y0mm_ocr.csv,18
0.35,0.001,0.01,True,1.0,0.01005,2025-09-15 14:12:36.938,2025-09-15 14:12:46.196,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y1mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y1mm_ocr.csv,18
0.35,0.002,0.01,True,1.0,0.0102,2025-09-15 14:12:46.199,2025-09-15 14:12:55.462,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y2mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y2mm_ocr.csv,18
0.35,0.003,0.01,True,1.0,0.01044,2025-09-15 14:12:55.465,2025-09-15 14:13:04.731,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y3mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y3mm_ocr.csv,18
0.35,0.004,0.01,True,1.0,0.01077,2025-09-15 14:13:04.734,2025-09-15 14:13:13.998,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y4mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y4mm_ocr.csv,18
0.35,0.005,0.01,True,1.0,0.01118,2025-09-15 14:13:14.000,2025-09-15 14:13:23.262,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y5mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y5mm_ocr.csv,18
0.35,0.006,0.01,True,1.0,0.01166,2025-09-15 14:13:23.265,2025-09-15 14:13:32.531,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y6mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y6mm_ocr.csv,18
0.35,0.007,0.01,True,1.0,0.01221,2025-09-15 14:13:32.534,2025-09-15 14:13:41.798,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y7mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y7mm_ocr.csv,18
0.35,0.008,0.01,True,1.0,0.01281,2025-09-15 14:13:41.801,2025-09-15 14:13:51.064,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y8mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y8mm_ocr.csv,18
0.35,0.009000000000000001,0.01,True,1.0,0.01345,2025-09-15 14:13:51.067,2025-09-15 14:14:00.331,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y9mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y9mm_ocr.csv,18
