x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.08,True,1.0,0.08,2025-09-26 12:56:20.866,2025-09-26 12:56:36.015,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y0mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y0mm_ocr.csv,26,"68, 57, 55, 61, 64, 71, 67, 51, 56, 62, 56, 56, 60, 58, 62, 50, 56, 53, 56, 67",59.30,20,"12:56:25, 12:56:25, 12:56:26, 12:56:26, 12:56:27, 12:56:27, 12:56:28, 12:56:28, 12:56:29, 12:56:29, 12:56:30, 12:56:30, 12:56:31, 12:56:31, 12:56:32, 12:56:32, 12:56:33, 12:56:33, 12:56:34, 12:56:34"
0.35,0.004,0.08,True,1.0,0.0801,2025-09-26 12:56:36.019,2025-09-26 12:56:49.461,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y4mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y4mm_ocr.csv,26,"54, 52, 62, 62, 69, 55, 65, 65, 70, 65, 67, 64, 62, 62, 58, 47, 55, 64, 75, 75",62.40,20,"12:56:38, 12:56:39, 12:56:39, 12:56:40, 12:56:40, 12:56:41, 12:56:41, 12:56:42, 12:56:42, 12:56:43, 12:56:43, 12:56:44, 12:56:44, 12:56:45, 12:56:45, 12:56:46, 12:56:46, 12:56:47, 12:56:47, 12:56:48"
0.35,0.008,0.08,True,1.0,0.0804,2025-09-26 12:56:49.467,2025-09-26 12:57:02.927,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y8mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y8mm_ocr.csv,26,"64, 58, 51, 59, 60, 65, 61, 63, 59, 71, 67, 67, 82, 81, 76, 56, 55, 65, 52, 64",63.80,20,"12:56:51, 12:56:52, 12:56:52, 12:56:53, 12:56:53, 12:56:54, 12:56:54, 12:56:55, 12:56:55, 12:56:56, 12:56:56, 12:56:57, 12:56:57, 12:56:58, 12:56:58, 12:56:59, 12:56:59, 12:57:00, 12:57:00, 12:57:01"
0.35,0.012,0.08,True,1.0,0.08089,2025-09-26 12:57:02.933,2025-09-26 12:57:16.395,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y12mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y12mm_ocr.csv,26,"69, 69, 72, 76, 70, 51, 54, 55, 52, 60, 61, 67, 52, 51, 54, 57, 57, 57, 57, 56",59.85,20,"12:57:05, 12:57:05, 12:57:06, 12:57:06, 12:57:07, 12:57:07, 12:57:08, 12:57:08, 12:57:09, 12:57:09, 12:57:10, 12:57:10, 12:57:11, 12:57:11, 12:57:12, 12:57:12, 12:57:13, 12:57:13, 12:57:14, 12:57:14"
0.35,0.016,0.08,True,1.0,0.08158,2025-09-26 12:57:16.398,2025-09-26 12:57:29.861,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y16mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y16mm_ocr.csv,26,"58, 52, 51, 60, 61, 62, 61, 53, 53, 65, 63, 73, 72, 60, 67, 54, 51, 47, 59, 48",58.50,20,"12:57:18, 12:57:19, 12:57:19, 12:57:20, 12:57:20, 12:57:21, 12:57:21, 12:57:22, 12:57:22, 12:57:23, 12:57:23, 12:57:24, 12:57:24, 12:57:25, 12:57:25, 12:57:26, 12:57:26, 12:57:27, 12:57:27, 12:57:28"
0.35,0.02,0.08,True,1.0,0.08246,2025-09-26 12:57:29.864,2025-09-26 12:57:43.327,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y20mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y20mm_ocr.csv,26,"63, 55, 58, 56, 49, 49, 46, 46, 52, 51, 48, 54, 54, 61, 63, 54, 43, 40, 45, 47",51.70,20,"12:57:32, 12:57:32, 12:57:33, 12:57:33, 12:57:34, 12:57:34, 12:57:35, 12:57:35, 12:57:36, 12:57:36, 12:57:37, 12:57:37, 12:57:38, 12:57:38, 12:57:39, 12:57:39, 12:57:40, 12:57:40, 12:57:41, 12:57:41"
0.35,0.024,0.08,True,1.0,0.08352,2025-09-26 12:57:43.330,2025-09-26 12:57:56.795,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y24mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y24mm_ocr.csv,26,"41, 41, 47, 50, 41, 42, 43, 45, 52, 46, 49, 50, 36, 36, 34, 40, 34, 32, 39, 42",42.00,20,"12:57:45, 12:57:46, 12:57:46, 12:57:47, 12:57:47, 12:57:48, 12:57:48, 12:57:49, 12:57:49, 12:57:50, 12:57:50, 12:57:51, 12:57:51, 12:57:52, 12:57:52, 12:57:53, 12:57:53, 12:57:54, 12:57:54, 12:57:55"
0.35,0.028,0.08,True,1.0,0.08476,2025-09-26 12:57:56.801,2025-09-26 12:58:10.260,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y28mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y28mm_ocr.csv,26,"38, 42, 51, 53, 43, 295, 34, 38, 37, 37, 52, 47, 40, 42, 35, 41, 46, 29, 41, 43",54.20,20,"12:57:59, 12:57:59, 12:58:00, 12:58:00, 12:58:01, 12:58:01, 12:58:02, 12:58:02, 12:58:03, 12:58:03, 12:58:04, 12:58:04, 12:58:05, 12:58:05, 12:58:06, 12:58:06, 12:58:07, 12:58:07, 12:58:08, 12:58:08"
0.35,0.032,0.08,True,1.0,0.08616,2025-09-26 12:58:10.264,2025-09-26 12:58:23.727,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y32mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y32mm_ocr.csv,26,"43, 42, 39, 37, 28, 29, 27, 32, 37, 41, 38, 37, 38, 44, 36, 31, 33, 42, 36, 29",35.95,20,"12:58:12, 12:58:13, 12:58:13, 12:58:14, 12:58:14, 12:58:15, 12:58:15, 12:58:16, 12:58:16, 12:58:17, 12:58:17, 12:58:18, 12:58:18, 12:58:19, 12:58:19, 12:58:20, 12:58:20, 12:58:21, 12:58:21, 12:58:22"
0.35,0.036000000000000004,0.08,True,1.0,0.08773,2025-09-26 12:58:23.730,2025-09-26 12:58:37.193,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y36mm/raster_log_2025-09-26 12:56:18.819_z80mm_x350mm_y36mm_ocr.csv,26,"19, 20, 295, 33, 28, 21, 21, 21, 24, 25, 23, 26, 26, 24, 23, 22, 18, 21, 25, 28",37.15,20,"12:58:26, 12:58:26, 12:58:27, 12:58:27, 12:58:28, 12:58:28, 12:58:29, 12:58:29, 12:58:30, 12:58:30, 12:58:31, 12:58:31, 12:58:32, 12:58:32, 12:58:33, 12:58:33, 12:58:34, 12:58:34, 12:58:35, 12:58:35"
