x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.01,True,1.0,0.01,2025-10-28 11:13:23.828,2025-10-28 11:13:37.965,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y0mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y0mm_ocr.csv,26,"1030, 976, 1010, 1011, 999, 1011, 1018, 1023, 1042, 1021, 1024, 1033, 1043, 998, 980, 997, 1017, 973, 976, 1005",1009.35,20,"11:13:27, 11:13:27, 11:13:28, 11:13:28, 11:13:29, 11:13:29, 11:13:30, 11:13:30, 11:13:31, 11:13:31, 11:13:32, 11:13:32, 11:13:33, 11:13:33, 11:13:34, 11:13:34, 11:13:35, 11:13:35, 11:13:36, 11:13:36"
0.35,0.005,0.01,True,1.0,0.01118,2025-10-28 11:13:37.969,2025-10-28 11:13:51.525,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y5mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y5mm_ocr.csv,26,"982, 966, 956, 921, 967, 951, 989, 966, 912, 909, 968, 979, 1001, 991, 974, 979, 1003, 960, 945, 939",962.90,20,"11:13:40, 11:13:41, 11:13:41, 11:13:42, 11:13:42, 11:13:43, 11:13:43, 11:13:44, 11:13:44, 11:13:45, 11:13:45, 11:13:46, 11:13:46, 11:13:47, 11:13:47, 11:13:48, 11:13:48, 11:13:49, 11:13:49, 11:13:50"
0.35,0.01,0.01,True,1.0,0.01414,2025-10-28 11:13:51.529,2025-10-28 11:14:05.092,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y10mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y10mm_ocr.csv,26,"333, 385, 385, 354, 368, 341, 347, 332, 316, 299, 317, 356, 364, 347, 330, 317, 346, 324, 324, 320",340.25,20,"11:13:54, 11:13:54, 11:13:55, 11:13:55, 11:13:56, 11:13:56, 11:13:57, 11:13:57, 11:13:58, 11:13:58, 11:13:59, 11:13:59, 11:14:00, 11:14:00, 11:14:01, 11:14:01, 11:14:02, 11:14:02, 11:14:03, 11:14:03"
0.35,0.015,0.01,True,1.0,0.01803,2025-10-28 11:14:05.095,2025-10-28 11:14:18.657,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y15mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y15mm_ocr.csv,26,"16, 14, 14, 9, 12, 22, 24, 24, 19, 12, 12, 26, 35, 32, 26, 15, 17, 21, 17, 23",19.50,20,"11:14:07, 11:14:08, 11:14:08, 11:14:09, 11:14:09, 11:14:10, 11:14:10, 11:14:11, 11:14:11, 11:14:12, 11:14:12, 11:14:13, 11:14:13, 11:14:14, 11:14:14, 11:14:15, 11:14:15, 11:14:16, 11:14:16, 11:14:17"
0.35,0.02,0.01,True,1.0,0.02236,2025-10-28 11:14:18.661,2025-10-28 11:14:32.225,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y20mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y20mm_ocr.csv,26,"1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 2, 1, 1, 1, 0",0.70,20,"11:14:21, 11:14:21, 11:14:22, 11:14:22, 11:14:23, 11:14:23, 11:14:24, 11:14:24, 11:14:25, 11:14:25, 11:14:26, 11:14:26, 11:14:27, 11:14:27, 11:14:28, 11:14:28, 11:14:29, 11:14:29, 11:14:30, 11:14:30"
0.35,0.025,0.01,True,1.0,0.02693,2025-10-28 11:14:32.232,2025-10-28 11:14:45.792,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y25mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y25mm_ocr.csv,26,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0",0.15,20,"11:14:34, 11:14:35, 11:14:35, 11:14:36, 11:14:36, 11:14:37, 11:14:37, 11:14:38, 11:14:38, 11:14:39, 11:14:39, 11:14:40, 11:14:40, 11:14:41, 11:14:41, 11:14:42, 11:14:42, 11:14:43, 11:14:43, 11:14:44"
0.35,0.03,0.01,True,1.0,0.03162,2025-10-28 11:14:45.795,2025-10-28 11:14:59.359,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y30mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y30mm_ocr.csv,26,"0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.35,20,"11:14:48, 11:14:48, 11:14:49, 11:14:49, 11:14:50, 11:14:50, 11:14:51, 11:14:51, 11:14:52, 11:14:52, 11:14:53, 11:14:53, 11:14:54, 11:14:54, 11:14:55, 11:14:55, 11:14:56, 11:14:56, 11:14:57, 11:14:57"
0.35,0.035,0.01,True,1.0,0.0364,2025-10-28 11:14:59.362,2025-10-28 11:15:12.924,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y35mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y35mm_ocr.csv,26,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,20,"11:15:01, 11:15:02, 11:15:02, 11:15:03, 11:15:03, 11:15:04, 11:15:04, 11:15:05, 11:15:05, 11:15:06, 11:15:06, 11:15:07, 11:15:07, 11:15:08, 11:15:08, 11:15:09, 11:15:09, 11:15:10, 11:15:10, 11:15:11"
0.35,0.04,0.01,True,1.0,0.04123,2025-10-28 11:15:12.928,2025-10-28 11:15:26.492,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y40mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y40mm_ocr.csv,26,"0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.10,20,"11:15:15, 11:15:16, 11:15:16, 11:15:17, 11:15:17, 11:15:18, 11:15:18, 11:15:19, 11:15:19, 11:15:20, 11:15:20, 11:15:21, 11:15:21, 11:15:22, 11:15:22, 11:15:23, 11:15:23, 11:15:24, 11:15:24, 11:15:25"
0.35,0.045,0.01,True,1.0,0.0461,2025-10-28 11:15:26.495,2025-10-28 11:15:40.059,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y45mm/raster_log_2025-10-28 11:02:02.988_z10mm_x350mm_y45mm_ocr.csv,26,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,20,"11:15:29, 11:15:29, 11:15:30, 11:15:30, 11:15:31, 11:15:31, 11:15:32, 11:15:32, 11:15:33, 11:15:33, 11:15:34, 11:15:34, 11:15:35, 11:15:35, 11:15:36, 11:15:36, 11:15:37, 11:15:37, 11:15:38, 11:15:38"
