x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.01,True,1.0,0.01,2025-10-28 10:41:15.286,2025-10-28 10:41:29.483,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x350mm_y0mm_ocr.csv,26,"1008, 1037, 1051, 997, 997, 1008, 1007, 1007, 993, 993, 994, 997, 988, 955, 946, 994, 966, 982, 972, 992",994.20,20,"10:41:18, 10:41:19, 10:41:19, 10:41:20, 10:41:20, 10:41:21, 10:41:21, 10:41:22, 10:41:22, 10:41:23, 10:41:23, 10:41:24, 10:41:24, 10:41:25, 10:41:25, 10:41:26, 10:41:26, 10:41:27, 10:41:27, 10:41:28"
0.355,0.0,0.01,True,1.0,0.01118,2025-10-28 10:41:29.487,2025-10-28 10:41:43.025,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x355mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x355mm_y0mm_ocr.csv,26,"823, 823, 842, 804, 797, 819, 802, 782, 817, 848, 853, 834, 834, 821, 801, 844, 858, 883, 885, 821",829.55,20,"10:41:32, 10:41:32, 10:41:33, 10:41:33, 10:41:34, 10:41:34, 10:41:35, 10:41:35, 10:41:36, 10:41:36, 10:41:37, 10:41:37, 10:41:38, 10:41:38, 10:41:39, 10:41:39, 10:41:40, 10:41:40, 10:41:41, 10:41:41"
0.36,0.0,0.01,True,1.0,0.01414,2025-10-28 10:41:43.030,2025-10-28 10:41:56.592,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x360mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x360mm_y0mm_ocr.csv,26,"265, 253, 262, 245, 248, 248, 251, 239, 234, 236, 246, 246, 207, 221, 249, 249, 266, 242, 236, 244",244.35,20,"10:41:45, 10:41:46, 10:41:46, 10:41:47, 10:41:47, 10:41:48, 10:41:48, 10:41:49, 10:41:49, 10:41:50, 10:41:50, 10:41:51, 10:41:51, 10:41:52, 10:41:52, 10:41:53, 10:41:53, 10:41:54, 10:41:54, 10:41:55"
0.365,0.0,0.01,True,1.0,0.01803,2025-10-28 10:41:56.596,2025-10-28 10:42:10.159,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x365mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x365mm_y0mm_ocr.csv,26,"18, 11, 11, 7, 10, 15, 14, 15, 14, 135, 11, 16, 20, 17, 10, 16, 16, 18, 22, 12",20.40,20,"10:41:59, 10:41:59, 10:42:00, 10:42:00, 10:42:01, 10:42:01, 10:42:02, 10:42:02, 10:42:03, 10:42:03, 10:42:04, 10:42:04, 10:42:05, 10:42:05, 10:42:06, 10:42:06, 10:42:07, 10:42:07, 10:42:08, 10:42:08"
0.37,0.0,0.01,True,1.0,0.02236,2025-10-28 10:42:10.163,2025-10-28 10:42:23.726,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x370mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x370mm_y0mm_ocr.csv,26,"0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0",0.65,20,"10:42:12, 10:42:13, 10:42:13, 10:42:14, 10:42:14, 10:42:15, 10:42:15, 10:42:16, 10:42:16, 10:42:17, 10:42:17, 10:42:18, 10:42:18, 10:42:19, 10:42:19, 10:42:20, 10:42:20, 10:42:21, 10:42:21, 10:42:22"
0.375,0.0,0.01,True,1.0,0.02693,2025-10-28 10:42:23.732,2025-10-28 10:42:37.292,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x375mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x375mm_y0mm_ocr.csv,26,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0",0.15,20,"10:42:26, 10:42:26, 10:42:27, 10:42:27, 10:42:28, 10:42:28, 10:42:29, 10:42:29, 10:42:30, 10:42:30, 10:42:31, 10:42:31, 10:42:32, 10:42:32, 10:42:33, 10:42:33, 10:42:34, 10:42:34, 10:42:35, 10:42:35"
0.38,0.0,0.01,True,1.0,0.03162,2025-10-28 10:42:37.295,2025-10-28 10:42:50.859,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x380mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x380mm_y0mm_ocr.csv,26,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,20,"10:42:39, 10:42:40, 10:42:40, 10:42:41, 10:42:41, 10:42:42, 10:42:42, 10:42:43, 10:42:43, 10:42:44, 10:42:44, 10:42:45, 10:42:45, 10:42:46, 10:42:46, 10:42:47, 10:42:47, 10:42:48, 10:42:48, 10:42:49"
0.385,0.0,0.01,True,1.0,0.0364,2025-10-28 10:42:50.862,2025-10-28 10:43:04.425,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x385mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x385mm_y0mm_ocr.csv,26,"0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.15,20,"10:42:53, 10:42:53, 10:42:54, 10:42:54, 10:42:55, 10:42:55, 10:42:56, 10:42:56, 10:42:57, 10:42:57, 10:42:58, 10:42:58, 10:42:59, 10:42:59, 10:43:00, 10:43:00, 10:43:01, 10:43:01, 10:43:02, 10:43:02"
0.38999999999999996,0.0,0.01,True,1.0,0.04123,2025-10-28 10:43:04.428,2025-10-28 10:43:17.992,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x390mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x390mm_y0mm_ocr.csv,26,"0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.10,20,"10:43:07, 10:43:07, 10:43:08, 10:43:08, 10:43:09, 10:43:09, 10:43:10, 10:43:10, 10:43:11, 10:43:11, 10:43:12, 10:43:12, 10:43:13, 10:43:13, 10:43:14, 10:43:14, 10:43:15, 10:43:15, 10:43:16, 10:43:16"
0.39499999999999996,0.0,0.01,True,1.0,0.0461,2025-10-28 10:43:17.996,2025-10-28 10:43:31.559,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x395mm_y0mm/raster_log_2025-10-28 10:28:53.330_z10mm_x395mm_y0mm_ocr.csv,26,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,20,"10:43:20, 10:43:21, 10:43:21, 10:43:22, 10:43:22, 10:43:23, 10:43:23, 10:43:24, 10:43:24, 10:43:25, 10:43:25, 10:43:26, 10:43:26, 10:43:27, 10:43:27, 10:43:28, 10:43:28, 10:43:29, 10:43:29, 10:43:30"
