x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.07,True,1.0,0.07,2025-10-29 14:46:38.997,2025-10-29 14:46:52.936,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y0mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y0mm_ocr.csv,26,"22, 26, 25, 25, 27, 33, 33, 32, 27, 25, 20, 20, 19, 18, 417, 20, 31, 40, 40, 295",59.75,20,"14:46:42, 14:46:42, 14:46:42, 14:46:43, 14:46:43, 14:46:44, 14:46:44, 14:46:45, 14:46:46, 14:46:46, 14:46:46, 14:46:47, 14:46:47, 14:46:48, 14:46:48, 14:46:49, 14:46:50, 14:46:50, 14:46:51, 14:46:51"
0.35,0.002,0.07,True,1.0,0.07003,2025-10-29 14:46:52.939,2025-10-29 14:47:06.294,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y2mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y2mm_ocr.csv,26,"33, 37, 24, 295, 295, 31, 34, 28, 32, 295, 23, 295, 24, 20, 20, 20, 19, 22, 22, 32",80.05,20,"14:46:55, 14:46:55, 14:46:56, 14:46:56, 14:46:57, 14:46:57, 14:46:58, 14:46:58, 14:46:59, 14:46:59, 14:47:00, 14:47:00, 14:47:01, 14:47:01, 14:47:02, 14:47:02, 14:47:03, 14:47:03, 14:47:04, 14:47:04"
0.35,0.004,0.07,True,1.0,0.07011,2025-10-29 14:47:06.297,2025-10-29 14:47:19.659,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y4mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y4mm_ocr.csv,26,"33, 24, 23, 25, 26, 25, 25, 23, 27, 295, 28, 23, 27, 21, 25, 22, 21, 24, 26, 25",38.40,20,"14:47:08, 14:47:09, 14:47:09, 14:47:10, 14:47:10, 14:47:11, 14:47:11, 14:47:12, 14:47:12, 14:47:13, 14:47:13, 14:47:14, 14:47:14, 14:47:15, 14:47:15, 14:47:16, 14:47:16, 14:47:17, 14:47:17, 14:47:18"
0.35,0.006,0.07,True,1.0,0.07026,2025-10-29 14:47:19.662,2025-10-29 14:47:33.028,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y6mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y6mm_ocr.csv,26,"25, 36, 30, 24, 417, 35, 30, 27, 28, 30, 33, 25, 25, 26, 26, 18, 26, 28, 28, 30",47.35,20,"14:47:22, 14:47:22, 14:47:23, 14:47:23, 14:47:24, 14:47:24, 14:47:25, 14:47:25, 14:47:26, 14:47:26, 14:47:27, 14:47:27, 14:47:28, 14:47:28, 14:47:29, 14:47:29, 14:47:30, 14:47:30, 14:47:31, 14:47:31"
0.35,0.008,0.07,True,1.0,0.07046,2025-10-29 14:47:33.033,2025-10-29 14:47:46.395,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y8mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y8mm_ocr.csv,26,"22, 24, 28, 28, 27, 29, 21, 21, 230, 23, 24, 25, 16, 417, 24, 26, 26, 21, 20, 295",67.35,20,"14:47:35, 14:47:35, 14:47:36, 14:47:36, 14:47:37, 14:47:37, 14:47:38, 14:47:38, 14:47:39, 14:47:39, 14:47:40, 14:47:40, 14:47:41, 14:47:41, 14:47:42, 14:47:42, 14:47:43, 14:47:43, 14:47:44, 14:47:44"
0.35,0.01,0.07,True,1.0,0.07071,2025-10-29 14:47:46.398,2025-10-29 14:47:59.761,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y10mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y10mm_ocr.csv,26,"27, 20, 417, 20, 22, 24, 25, 27, 26, 26, 25, 22, 23, 24, 22, 23, 27, 35, 35, 36",45.30,20,"14:47:48, 14:47:49, 14:47:49, 14:47:50, 14:47:50, 14:47:51, 14:47:51, 14:47:52, 14:47:52, 14:47:53, 14:47:53, 14:47:54, 14:47:54, 14:47:55, 14:47:55, 14:47:56, 14:47:56, 14:47:57, 14:47:57, 14:47:58"
0.35,0.012,0.07,True,1.0,0.07102,2025-10-29 14:47:59.764,2025-10-29 14:48:13.127,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y12mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y12mm_ocr.csv,26,"22, 25, 17, 14, 417, 19, 19, 24, 24, 25, 34, 19, 22, 22, 24, 30, 26, 28, 35, 32",43.90,20,"14:48:02, 14:48:02, 14:48:03, 14:48:03, 14:48:04, 14:48:04, 14:48:05, 14:48:05, 14:48:06, 14:48:06, 14:48:07, 14:48:07, 14:48:08, 14:48:08, 14:48:09, 14:48:09, 14:48:10, 14:48:10, 14:48:11, 14:48:11"
0.35,0.014,0.07,True,1.0,0.07139,2025-10-29 14:48:13.130,2025-10-29 14:48:26.494,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y14mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y14mm_ocr.csv,26,"295, 24, 21, 24, 27, 20, 17, 15, 24, 24, 23, 23, 39, 24, 19, 19, 22, 13, 29, 34",36.80,20,"14:48:15, 14:48:16, 14:48:16, 14:48:17, 14:48:17, 14:48:18, 14:48:18, 14:48:19, 14:48:19, 14:48:20, 14:48:20, 14:48:21, 14:48:21, 14:48:22, 14:48:22, 14:48:23, 14:48:23, 14:48:24, 14:48:24, 14:48:25"
0.35,0.016,0.07,True,1.0,0.07181,2025-10-29 14:48:26.497,2025-10-29 14:48:39.859,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y16mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y16mm_ocr.csv,26,"24, 18, 22, 16, 23, 34, 24, 26, 11, 21, 26, 25, 25, 26, 23, 23, 24, 24, 23, 417",42.75,20,"14:48:28, 14:48:29, 14:48:29, 14:48:30, 14:48:30, 14:48:31, 14:48:31, 14:48:32, 14:48:32, 14:48:33, 14:48:33, 14:48:34, 14:48:34, 14:48:35, 14:48:35, 14:48:36, 14:48:36, 14:48:37, 14:48:37, 14:48:38"
0.35,0.018000000000000002,0.07,True,1.0,0.07228,2025-10-29 14:48:39.861,2025-10-29 14:48:53.225,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y18mm/raster_log_2025-10-29 14:32:06.948_z70mm_x350mm_y18mm_ocr.csv,26,"26, 26, 19, 18, 13, 16, 16, 19, 20, 20, 24, 20, 16, 19, 20, 16, 18, 47, 15, 24",20.60,20,"14:48:42, 14:48:42, 14:48:43, 14:48:43, 14:48:44, 14:48:44, 14:48:45, 14:48:45, 14:48:46, 14:48:46, 14:48:47, 14:48:47, 14:48:48, 14:48:48, 14:48:49, 14:48:49, 14:48:50, 14:48:50, 14:48:51, 14:48:51"
