x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.09,True,1.0,0.09,2025-10-29 16:10:35.605,2025-10-29 16:10:49.870,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y0mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y0mm_ocr.csv,26,"46, 46, 46, 46, 57, 45, 37, 42, 42, 39, 41, 44, 38, 35, 38, 46, 48, 43, 47, 45",43.55,20,"16:10:38, 16:10:39, 16:10:39, 16:10:40, 16:10:40, 16:10:41, 16:10:41, 16:10:42, 16:10:42, 16:10:43, 16:10:43, 16:10:44, 16:10:44, 16:10:45, 16:10:45, 16:10:46, 16:10:46, 16:10:47, 16:10:47, 16:10:48"
0.35,0.005,0.09,True,1.0,0.09014,2025-10-29 16:10:49.873,2025-10-29 16:11:03.404,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y5mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y5mm_ocr.csv,26,"38, 43, 39, 43, 45, 45, 43, 40, 43, 44, 44, 40, 35, 35, 40, 46, 45, 44, 39, 42",41.65,20,"16:10:52, 16:10:52, 16:10:53, 16:10:53, 16:10:54, 16:10:54, 16:10:55, 16:10:55, 16:10:56, 16:10:56, 16:10:57, 16:10:57, 16:10:58, 16:10:58, 16:10:59, 16:10:59, 16:11:00, 16:11:00, 16:11:01, 16:11:01"
0.35,0.01,0.09,True,1.0,0.09055,2025-10-29 16:11:03.407,2025-10-29 16:11:16.937,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y10mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y10mm_ocr.csv,26,"49, 41, 38, 51, 62, 52, 45, 41, 43, 45, 45, 49, 42, 46, 32, 47, 48, 44, 54, 45",45.95,20,"16:11:06, 16:11:06, 16:11:07, 16:11:07, 16:11:07, 16:11:08, 16:11:09, 16:11:09, 16:11:09, 16:11:10, 16:11:10, 16:11:11, 16:11:11, 16:11:12, 16:11:12, 16:11:13, 16:11:13, 16:11:14, 16:11:14, 16:11:15"
0.35,0.015,0.09,True,1.0,0.09124,2025-10-29 16:11:16.940,2025-10-29 16:11:30.470,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y15mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y15mm_ocr.csv,26,"32, 42, 50, 51, 46, 46, 42, 48, 53, 43, 37, 39, 38, 41, 41, 31, 31, 32, 31, 55",41.45,20,"16:11:19, 16:11:20, 16:11:20, 16:11:21, 16:11:21, 16:11:22, 16:11:22, 16:11:23, 16:11:23, 16:11:24, 16:11:24, 16:11:25, 16:11:25, 16:11:26, 16:11:26, 16:11:27, 16:11:27, 16:11:28, 16:11:28, 16:11:29"
0.35,0.02,0.09,True,1.0,0.0922,2025-10-29 16:11:30.474,2025-10-29 16:11:44.004,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y20mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y20mm_ocr.csv,26,"55, 56, 52, 46, 52, 51, 41, 33, 27, 32, 37, 295, 35, 39, 45, 36, 28, 23, 295, 43",66.05,20,"16:11:33, 16:11:33, 16:11:34, 16:11:34, 16:11:35, 16:11:35, 16:11:36, 16:11:36, 16:11:37, 16:11:37, 16:11:38, 16:11:38, 16:11:39, 16:11:39, 16:11:40, 16:11:40, 16:11:41, 16:11:41, 16:11:42, 16:11:42"
0.35,0.025,0.09,True,1.0,0.09341,2025-10-29 16:11:44.007,2025-10-29 16:11:57.537,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y25mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y25mm_ocr.csv,26,"38, 39, 37, 37, 42, 40, 30, 35, 33, 34, 34, 44, 35, 33, 37, 38, 36, 36, 33, 34",36.25,20,"16:11:46, 16:11:47, 16:11:47, 16:11:48, 16:11:48, 16:11:49, 16:11:49, 16:11:50, 16:11:50, 16:11:51, 16:11:51, 16:11:52, 16:11:52, 16:11:53, 16:11:53, 16:11:54, 16:11:54, 16:11:55, 16:11:55, 16:11:56"
0.35,0.03,0.09,True,1.0,0.09487,2025-10-29 16:11:57.540,2025-10-29 16:12:11.070,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y30mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y30mm_ocr.csv,26,"21, 28, 26, 27, 23, 295, 29, 295, 32, 32, 34, 30, 29, 30, 24, 20, 20, 28, 28, 27",53.90,20,"16:12:00, 16:12:00, 16:12:01, 16:12:01, 16:12:02, 16:12:02, 16:12:03, 16:12:03, 16:12:04, 16:12:04, 16:12:05, 16:12:05, 16:12:06, 16:12:06, 16:12:07, 16:12:07, 16:12:08, 16:12:08, 16:12:09, 16:12:09"
0.35,0.035,0.09,True,1.0,0.09657,2025-10-29 16:12:11.073,2025-10-29 16:12:24.602,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y35mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y35mm_ocr.csv,26,"26, 295, 24, 27, 31, 29, 20, 33, 22, 22, 22, 24, 28, 21, 22, 24, 18, 23, 27, 24",38.10,20,"16:12:13, 16:12:14, 16:12:14, 16:12:15, 16:12:15, 16:12:16, 16:12:16, 16:12:17, 16:12:17, 16:12:18, 16:12:18, 16:12:19, 16:12:19, 16:12:20, 16:12:20, 16:12:21, 16:12:21, 16:12:22, 16:12:22, 16:12:23"
0.35,0.04,0.09,True,1.0,0.09849,2025-10-29 16:12:24.605,2025-10-29 16:12:38.137,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y40mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y40mm_ocr.csv,26,"20, 16, 22, 27, 26, 20, 15, 16, 15, 16, 15, 16, 16, 23, 23, 14, 16, 417, 9, 12",37.70,20,"16:12:27, 16:12:27, 16:12:28, 16:12:28, 16:12:29, 16:12:29, 16:12:30, 16:12:30, 16:12:31, 16:12:31, 16:12:32, 16:12:32, 16:12:33, 16:12:33, 16:12:34, 16:12:34, 16:12:35, 16:12:35, 16:12:36, 16:12:36"
0.35,0.045,0.09,True,1.0,0.10062,2025-10-29 16:12:38.141,2025-10-29 16:12:51.670,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z90mm/x350mm_y45mm/raster_log_2025-10-29 16:05:18.201_z90mm_x350mm_y45mm_ocr.csv,26,"417, 15, 21, 21, 21, 13, 14, 21, 22, 22, 18, 15, 16, 15, 11, 11, 18, 417, 16, 47",58.55,20,"16:12:40, 16:12:41, 16:12:41, 16:12:42, 16:12:42, 16:12:43, 16:12:43, 16:12:44, 16:12:44, 16:12:45, 16:12:45, 16:12:46, 16:12:46, 16:12:47, 16:12:47, 16:12:48, 16:12:48, 16:12:49, 16:12:49, 16:12:50"
