x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.05,True,1.0,0.05,2025-10-29 16:16:19.865,2025-10-29 16:16:34.097,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x350mm_y0mm_ocr.csv,26,"114, 121, 132, 138, 132, 134, 139, 143, 144, 130, 138, 144, 141, 113, 122, 120, 114, 126, 125, 129",129.95,20,"16:16:23, 16:16:23, 16:16:24, 16:16:24, 16:16:25, 16:16:25, 16:16:26, 16:16:26, 16:16:27, 16:16:27, 16:16:28, 16:16:28, 16:16:29, 16:16:29, 16:16:30, 16:16:30, 16:16:31, 16:16:31, 16:16:32, 16:16:32"
0.355,0.0,0.05,True,1.0,0.05025,2025-10-29 16:16:34.100,2025-10-29 16:16:47.637,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x355mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x355mm_y0mm_ocr.csv,26,"128, 133, 113, 120, 119, 130, 152, 149, 143, 137, 139, 130, 130, 129, 127, 122, 121, 121, 123, 108",128.70,20,"16:16:36, 16:16:37, 16:16:37, 16:16:38, 16:16:38, 16:16:39, 16:16:39, 16:16:40, 16:16:40, 16:16:41, 16:16:41, 16:16:42, 16:16:42, 16:16:43, 16:16:43, 16:16:44, 16:16:44, 16:16:45, 16:16:45, 16:16:46"
0.36,0.0,0.05,True,1.0,0.05099,2025-10-29 16:16:47.640,2025-10-29 16:17:01.204,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x360mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x360mm_y0mm_ocr.csv,26,"92, 98, 106, 116, 112, 108, 108, 112, 108, 107, 112, 115, 119, 132, 126, 98, 98, 122, 112, 116",110.85,20,"16:16:50, 16:16:50, 16:16:51, 16:16:51, 16:16:52, 16:16:52, 16:16:53, 16:16:53, 16:16:54, 16:16:54, 16:16:55, 16:16:55, 16:16:56, 16:16:56, 16:16:57, 16:16:57, 16:16:58, 16:16:58, 16:16:59, 16:16:59"
0.365,0.0,0.05,True,1.0,0.0522,2025-10-29 16:17:01.207,2025-10-29 16:17:14.770,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x365mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x365mm_y0mm_ocr.csv,26,"99, 92, 88, 89, 116, 109, 93, 93, 91, 93, 113, 109, 101, 96, 86, 96, 101, 100, 101, 96",98.10,20,"16:17:03, 16:17:04, 16:17:04, 16:17:05, 16:17:05, 16:17:06, 16:17:06, 16:17:07, 16:17:07, 16:17:08, 16:17:08, 16:17:09, 16:17:09, 16:17:10, 16:17:10, 16:17:11, 16:17:11, 16:17:12, 16:17:12, 16:17:13"
0.37,0.0,0.05,True,1.0,0.05385,2025-10-29 16:17:14.774,2025-10-29 16:17:28.335,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x370mm_y0mm_ocr.csv,26,"56, 63, 76, 90, 73, 76, 70, 74, 70, 66, 67, 72, 64, 72, 71, 71, 72, 92, 82, 60",71.85,20,"16:17:17, 16:17:17, 16:17:18, 16:17:18, 16:17:19, 16:17:19, 16:17:20, 16:17:20, 16:17:21, 16:17:21, 16:17:22, 16:17:22, 16:17:23, 16:17:23, 16:17:24, 16:17:24, 16:17:25, 16:17:25, 16:17:26, 16:17:26"
0.375,0.0,0.05,True,1.0,0.0559,2025-10-29 16:17:28.338,2025-10-29 16:17:41.902,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x375mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x375mm_y0mm_ocr.csv,26,"55, 44, 38, 46, 57, 58, 47, 42, 41, 45, 52, 51, 56, 54, 46, 46, 52, 57, 44, 49",49.00,20,"16:17:30, 16:17:31, 16:17:31, 16:17:32, 16:17:32, 16:17:33, 16:17:33, 16:17:34, 16:17:34, 16:17:35, 16:17:35, 16:17:36, 16:17:36, 16:17:37, 16:17:37, 16:17:38, 16:17:38, 16:17:39, 16:17:39, 16:17:40"
0.38,0.0,0.05,True,1.0,0.05831,2025-10-29 16:17:41.905,2025-10-29 16:17:55.469,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x380mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x380mm_y0mm_ocr.csv,26,"21, 26, 30, 43, 37, 28, 30, 31, 31, 35, 26, 22, 32, 38, 46, 45, 49, 49, 35, 32",34.30,20,"16:17:44, 16:17:45, 16:17:45, 16:17:46, 16:17:46, 16:17:47, 16:17:47, 16:17:48, 16:17:48, 16:17:49, 16:17:49, 16:17:50, 16:17:50, 16:17:51, 16:17:51, 16:17:52, 16:17:52, 16:17:53, 16:17:53, 16:17:54"
0.385,0.0,0.05,True,1.0,0.06103,2025-10-29 16:17:55.473,2025-10-29 16:18:09.045,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x385mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x385mm_y0mm_ocr.csv,26,"22, 15, 16, 18, 23, 20, 25, 29, 22, 23, 19, 19, 22, 17, 13, 417, 18, 15, 417, 14",59.20,20,"16:17:58, 16:17:58, 16:17:59, 16:17:59, 16:18:00, 16:18:00, 16:18:01, 16:18:01, 16:18:02, 16:18:02, 16:18:03, 16:18:03, 16:18:04, 16:18:04, 16:18:05, 16:18:05, 16:18:06, 16:18:06, 16:18:07, 16:18:07"
0.38999999999999996,0.0,0.05,True,1.0,0.06403,2025-10-29 16:18:09.049,2025-10-29 16:18:22.603,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x390mm_y0mm_ocr.csv,26,"9, 11, 13, 11, 7, 13, 11, 12, 135, 11, 9, 4, 4, 12, 11, 13, 11, 8, 5, 4",15.70,20,"16:18:11, 16:18:12, 16:18:12, 16:18:13, 16:18:13, 16:18:14, 16:18:14, 16:18:15, 16:18:15, 16:18:16, 16:18:16, 16:18:17, 16:18:17, 16:18:18, 16:18:18, 16:18:19, 16:18:19, 16:18:20, 16:18:20, 16:18:21"
0.39499999999999996,0.0,0.05,True,1.0,0.06727,2025-10-29 16:18:22.607,2025-10-29 16:18:36.170,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x395mm_y0mm/raster_log_2025-10-29 16:13:44.613_z50mm_x395mm_y0mm_ocr.csv,26,"3, 4, 4, 3, 2, 4, 5, 6, 7, 2, 2, 1, 4, 3, 2, 2, 3, 4, 5, 4",3.50,20,"16:18:25, 16:18:25, 16:18:26, 16:18:26, 16:18:27, 16:18:27, 16:18:28, 16:18:28, 16:18:29, 16:18:29, 16:18:30, 16:18:30, 16:18:31, 16:18:31, 16:18:32, 16:18:32, 16:18:33, 16:18:33, 16:18:34, 16:18:34"
