x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.03,True,1.0,0.03,2025-10-20 11:58:42.414,2025-10-20 11:58:56.453,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y0mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y0mm_ocr.csv,26,"149, 157, 159, 158, 158, 161, 161, 179, 179, 149, 150, 146, 168, 158, 166, 166, 144, 141, 155, 183",159.35,20,"11:58:45, 11:58:46, 11:58:46, 11:58:47, 11:58:47, 11:58:48, 11:58:48, 11:58:49, 11:58:49, 11:58:50, 11:58:50, 11:58:51, 11:58:51, 11:58:52, 11:58:52, 11:58:53, 11:58:53, 11:58:54, 11:58:54, 11:58:55"
0.35,0.002,0.03,True,1.0,0.03007,2025-10-20 11:58:56.455,2025-10-20 11:59:09.825,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y2mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y2mm_ocr.csv,26,"150, 147, 156, 155, 170, 164, 164, 163, 159, 158, 165, 159, 138, 155, 151, 147, 157, 154, 159, 166",156.85,20,"11:58:58, 11:58:59, 11:58:59, 11:59:00, 11:59:00, 11:59:01, 11:59:01, 11:59:02, 11:59:02, 11:59:03, 11:59:03, 11:59:04, 11:59:04, 11:59:05, 11:59:05, 11:59:06, 11:59:06, 11:59:07, 11:59:07, 11:59:08"
0.35,0.004,0.03,True,1.0,0.03027,2025-10-20 11:59:09.829,2025-10-20 11:59:23.191,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y4mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y4mm_ocr.csv,26,"133, 145, 151, 152, 176, 160, 152, 158, 167, 155, 163, 147, 154, 169, 174, 143, 154, 176, 172, 164",158.25,20,"11:59:12, 11:59:12, 11:59:13, 11:59:13, 11:59:14, 11:59:14, 11:59:15, 11:59:15, 11:59:16, 11:59:16, 11:59:17, 11:59:17, 11:59:18, 11:59:18, 11:59:19, 11:59:19, 11:59:20, 11:59:20, 11:59:21, 11:59:21"
0.35,0.006,0.03,True,1.0,0.03059,2025-10-20 11:59:23.195,2025-10-20 11:59:36.558,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y6mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y6mm_ocr.csv,26,"167, 149, 135, 153, 186, 160, 156, 144, 137, 154, 159, 160, 166, 155, 162, 148, 145, 166, 172, 163",156.85,20,"11:59:25, 11:59:26, 11:59:26, 11:59:27, 11:59:27, 11:59:28, 11:59:28, 11:59:29, 11:59:29, 11:59:30, 11:59:30, 11:59:31, 11:59:31, 11:59:32, 11:59:32, 11:59:33, 11:59:33, 11:59:34, 11:59:34, 11:59:35"
0.35,0.008,0.03,True,1.0,0.03105,2025-10-20 11:59:36.562,2025-10-20 11:59:49.926,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y8mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y8mm_ocr.csv,26,"151, 166, 174, 161, 144, 151, 133, 128, 166, 162, 167, 167, 165, 154, 149, 166, 173, 183, 158, 137",157.75,20,"11:59:38, 11:59:39, 11:59:39, 11:59:40, 11:59:40, 11:59:41, 11:59:41, 11:59:42, 11:59:42, 11:59:43, 11:59:43, 11:59:44, 11:59:44, 11:59:45, 11:59:45, 11:59:46, 11:59:46, 11:59:47, 11:59:47, 11:59:48"
0.35,0.01,0.03,True,1.0,0.03162,2025-10-20 11:59:49.937,2025-10-20 12:00:03.291,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y10mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y10mm_ocr.csv,26,"146, 150, 144, 137, 133, 131, 120, 112, 130, 145, 171, 167, 143, 152, 164, 147, 142, 151, 157, 147",144.45,20,"11:59:52, 11:59:52, 11:59:53, 11:59:53, 11:59:54, 11:59:54, 11:59:55, 11:59:55, 11:59:56, 11:59:56, 11:59:57, 11:59:57, 11:59:58, 11:59:58, 11:59:59, 11:59:59, 12:00:00, 12:00:00, 12:00:01, 12:00:01"
0.35,0.012,0.03,True,1.0,0.03231,2025-10-20 12:00:03.294,2025-10-20 12:00:16.657,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y12mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y12mm_ocr.csv,26,"139, 126, 112, 132, 128, 121, 134, 142, 135, 121, 134, 134, 134, 122, 108, 124, 118, 4117, 104, 115",325.00,20,"12:00:05, 12:00:06, 12:00:06, 12:00:07, 12:00:07, 12:00:08, 12:00:08, 12:00:09, 12:00:09, 12:00:10, 12:00:10, 12:00:11, 12:00:11, 12:00:12, 12:00:12, 12:00:13, 12:00:13, 12:00:14, 12:00:14, 12:00:15"
0.35,0.014,0.03,True,1.0,0.03311,2025-10-20 12:00:16.660,2025-10-20 12:00:30.023,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y14mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y14mm_ocr.csv,26,"119, 106, 109, 115, 113, 122, 111, 4114, 110, 112, 93, 92, 111, 104, 100, 91, 102, 108, 126, 127",309.25,20,"12:00:19, 12:00:19, 12:00:20, 12:00:20, 12:00:21, 12:00:21, 12:00:22, 12:00:22, 12:00:23, 12:00:23, 12:00:24, 12:00:24, 12:00:25, 12:00:25, 12:00:26, 12:00:26, 12:00:27, 12:00:27, 12:00:28, 12:00:28"
0.35,0.016,0.03,True,1.0,0.034,2025-10-20 12:00:30.026,2025-10-20 12:00:43.390,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y16mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y16mm_ocr.csv,26,"102, 88, 88, 80, 81, 101, 4117, 119, 97, 97, 84, 84, 87, 83, 88, 89, 89, 86, 86, 89",291.75,20,"12:00:32, 12:00:32, 12:00:33, 12:00:33, 12:00:34, 12:00:34, 12:00:35, 12:00:35, 12:00:36, 12:00:36, 12:00:37, 12:00:37, 12:00:38, 12:00:38, 12:00:39, 12:00:39, 12:00:40, 12:00:40, 12:00:41, 12:00:41"
0.35,0.018000000000000002,0.03,True,1.0,0.03499,2025-10-20 12:00:43.393,2025-10-20 12:00:56.758,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y18mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y18mm_ocr.csv,26,"64, 62, 65, 66, 66, 65, 70, 80, 81, 73, 63, 64, 65, 67, 60, 79, 77, 71, 58, 64",68.00,20,"12:00:45, 12:00:46, 12:00:46, 12:00:47, 12:00:47, 12:00:48, 12:00:48, 12:00:49, 12:00:49, 12:00:50, 12:00:50, 12:00:51, 12:00:51, 12:00:52, 12:00:52, 12:00:53, 12:00:53, 12:00:54, 12:00:54, 12:00:55"
0.35,0.02,0.03,True,1.0,0.03606,2025-10-20 12:00:56.761,2025-10-20 12:01:10.125,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y20mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y20mm_ocr.csv,26,"48, 57, 45, 45, 62, 61, 50, 53, 56, 67, 62, 54, 55, 63, 67, 65, 67, 65, 64, 64",58.50,20,"12:00:59, 12:00:59, 12:01:00, 12:01:00, 12:01:01, 12:01:01, 12:01:02, 12:01:02, 12:01:03, 12:01:03, 12:01:04, 12:01:04, 12:01:05, 12:01:05, 12:01:06, 12:01:06, 12:01:07, 12:01:07, 12:01:08, 12:01:08"
0.35,0.022,0.03,True,1.0,0.0372,2025-10-20 12:01:10.130,2025-10-20 12:01:23.492,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y22mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y22mm_ocr.csv,26,"39, 43, 42, 45, 55, 49, 47, 45, 45, 50, 48, 46, 51, 51, 44, 47, 35, 36, 48, 43",45.45,20,"12:01:12, 12:01:13, 12:01:13, 12:01:14, 12:01:14, 12:01:15, 12:01:15, 12:01:16, 12:01:16, 12:01:17, 12:01:17, 12:01:18, 12:01:18, 12:01:19, 12:01:19, 12:01:20, 12:01:20, 12:01:21, 12:01:21, 12:01:22"
0.35,0.024,0.03,True,1.0,0.03842,2025-10-20 12:01:23.495,2025-10-20 12:01:36.857,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y24mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y24mm_ocr.csv,26,"33, 40, 40, 41, 33, 31, 37, 37, 39, 36, 30, 30, 36, 36, 30, 24, 27, 33, 33, 33",33.95,20,"12:01:25, 12:01:26, 12:01:26, 12:01:27, 12:01:27, 12:01:28, 12:01:28, 12:01:29, 12:01:29, 12:01:30, 12:01:30, 12:01:31, 12:01:31, 12:01:32, 12:01:32, 12:01:33, 12:01:33, 12:01:34, 12:01:34, 12:01:35"
0.35,0.026000000000000002,0.03,True,1.0,0.0397,2025-10-20 12:01:36.860,2025-10-20 12:01:50.224,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y26mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y26mm_ocr.csv,26,"22, 21, 25, 31, 29, 24, 20, 33, 33, 37, 24, 19, 26, 35, 30, 26, 16, 19, 22, 23",25.75,20,"12:01:39, 12:01:39, 12:01:40, 12:01:40, 12:01:41, 12:01:41, 12:01:42, 12:01:42, 12:01:43, 12:01:43, 12:01:44, 12:01:44, 12:01:45, 12:01:45, 12:01:46, 12:01:46, 12:01:47, 12:01:47, 12:01:48, 12:01:48"
0.35,0.028,0.03,True,1.0,0.04104,2025-10-20 12:01:50.227,2025-10-20 12:02:03.592,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y28mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y28mm_ocr.csv,26,"24, 14, 417, 23, 22, 417, 417, 14, 13, 18, 26, 25, 24, 23, 22, 15, 15, 14, 21, 23",79.35,20,"12:01:52, 12:01:53, 12:01:53, 12:01:54, 12:01:54, 12:01:55, 12:01:55, 12:01:56, 12:01:56, 12:01:57, 12:01:57, 12:01:58, 12:01:58, 12:01:59, 12:01:59, 12:02:00, 12:02:00, 12:02:01, 12:02:01, 12:02:02"
0.35,0.03,0.03,True,1.0,0.04243,2025-10-20 12:02:03.595,2025-10-20 12:02:16.959,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y30mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y30mm_ocr.csv,26,"8, 10, 14, 12, 14, 9, 11, 15, 7, 7, 10, 10, 8, 9, 13, 13, 11, 13, 13, 9",10.80,20,"12:02:06, 12:02:06, 12:02:07, 12:02:07, 12:02:08, 12:02:08, 12:02:09, 12:02:09, 12:02:10, 12:02:10, 12:02:11, 12:02:11, 12:02:12, 12:02:12, 12:02:13, 12:02:13, 12:02:14, 12:02:14, 12:02:15, 12:02:15"
0.35,0.032,0.03,True,1.0,0.04386,2025-10-20 12:02:16.962,2025-10-20 12:02:30.325,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y32mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y32mm_ocr.csv,26,"5, 9, 7, 7, 9, 10, 5, 6, 8, 9, 11, 10, 5, 1, 3, 8, 8, 7, 9, 7",7.20,20,"12:02:19, 12:02:19, 12:02:20, 12:02:20, 12:02:21, 12:02:21, 12:02:22, 12:02:22, 12:02:23, 12:02:23, 12:02:24, 12:02:24, 12:02:25, 12:02:25, 12:02:26, 12:02:26, 12:02:27, 12:02:27, 12:02:28, 12:02:28"
0.35,0.034,0.03,True,1.0,0.04534,2025-10-20 12:02:30.329,2025-10-20 12:02:43.692,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y34mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y34mm_ocr.csv,26,"2, 2, 1, 6, 8, 5, 5, 5, 3, 8, 11, 9, 6, 7, 8, 6, 3, 2, 3, 6",5.30,20,"12:02:32, 12:02:33, 12:02:33, 12:02:34, 12:02:34, 12:02:35, 12:02:35, 12:02:36, 12:02:36, 12:02:37, 12:02:37, 12:02:38, 12:02:38, 12:02:39, 12:02:39, 12:02:40, 12:02:40, 12:02:41, 12:02:41, 12:02:42"
0.35,0.036000000000000004,0.03,True,1.0,0.04686,2025-10-20 12:02:43.695,2025-10-20 12:02:57.057,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y36mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y36mm_ocr.csv,26,"1, 2, 2, 1, 3, 2, 2, 2, 6, 8, 6, 6, 2, 1, 3, 4, 4, 3, 3, 3",3.20,20,"12:02:46, 12:02:46, 12:02:47, 12:02:47, 12:02:48, 12:02:48, 12:02:49, 12:02:49, 12:02:50, 12:02:50, 12:02:51, 12:02:51, 12:02:52, 12:02:52, 12:02:53, 12:02:53, 12:02:54, 12:02:54, 12:02:55, 12:02:55"
0.35,0.038,0.03,True,1.0,0.04841,2025-10-20 12:02:57.060,2025-10-20 12:03:10.425,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y38mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y38mm_ocr.csv,26,"3, 2, 3, 3, 3, 1, 1, 5, 5, 3, 3, 3, 5, 4, 3, 2, 3, 2, 3, 2",2.95,20,"12:02:59, 12:02:59, 12:03:00, 12:03:00, 12:03:01, 12:03:01, 12:03:02, 12:03:02, 12:03:03, 12:03:03, 12:03:04, 12:03:04, 12:03:05, 12:03:05, 12:03:06, 12:03:06, 12:03:07, 12:03:07, 12:03:08, 12:03:08"
0.35,0.04,0.03,True,1.0,0.05,2025-10-20 12:03:10.428,2025-10-20 12:03:23.792,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y40mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y40mm_ocr.csv,26,"1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 3, 3, 2, 1, 0, 3, 1, 0, 1",1.00,20,"12:03:12, 12:03:13, 12:03:13, 12:03:14, 12:03:14, 12:03:15, 12:03:15, 12:03:16, 12:03:16, 12:03:17, 12:03:17, 12:03:18, 12:03:18, 12:03:19, 12:03:19, 12:03:20, 12:03:20, 12:03:21, 12:03:21, 12:03:22"
0.35,0.042,0.03,True,1.0,0.05161,2025-10-20 12:03:23.794,2025-10-20 12:03:37.150,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y42mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y42mm_ocr.csv,26,"1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1",0.35,20,"12:03:26, 12:03:26, 12:03:27, 12:03:27, 12:03:28, 12:03:28, 12:03:29, 12:03:29, 12:03:30, 12:03:30, 12:03:31, 12:03:31, 12:03:32, 12:03:32, 12:03:33, 12:03:33, 12:03:34, 12:03:34, 12:03:35, 12:03:35"
0.35,0.044,0.03,True,1.0,0.05325,2025-10-20 12:03:37.154,2025-10-20 12:03:50.515,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z30mm/x350mm_y44mm/raster_log_2025-10-20 11:30:26.244_z30mm_x350mm_y44mm_ocr.csv,26,"2, 1, 0, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 4, 4, 0, 0",1.45,20,"12:03:39, 12:03:40, 12:03:40, 12:03:41, 12:03:41, 12:03:42, 12:03:42, 12:03:43, 12:03:43, 12:03:44, 12:03:44, 12:03:45, 12:03:45, 12:03:46, 12:03:46, 12:03:47, 12:03:47, 12:03:48, 12:03:48, 12:03:49"
