x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.008,True,1.0,0.008,2025-09-16 09:57:40.769,2025-09-16 09:57:50.668,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y0mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y0mm_ocr.csv,18,"1170, 1257, 1266, 1324, 1301, 1298, 1284, 1297, 1267, 1292, 1349, 1313",1284.83,12,"09:57:43, 09:57:43, 09:57:44, 09:57:44, 09:57:45, 09:57:45, 09:57:46, 09:57:46, 09:57:47, 09:57:47, 09:57:48, 09:57:48"
0.35,0.001,0.008,True,1.0,0.00806,2025-09-16 09:57:50.671,2025-09-16 09:57:59.938,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y1mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y1mm_ocr.csv,18,"1262, 1293, 1307, 1287, 1284, 1266, 1268, 1307, 1345, 1278, 1278, 1340",1292.92,12,"09:57:52, 09:57:53, 09:57:53, 09:57:53, 09:57:54, 09:57:54, 09:57:55, 09:57:55, 09:57:56, 09:57:57, 09:57:57, 09:57:57"
0.35,0.002,0.008,True,1.0,0.00825,2025-09-16 09:57:59.941,2025-09-16 09:58:09.203,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y2mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y2mm_ocr.csv,18,"1213, 1252, 1262, 1319, 1345, 1321, 1247, 1279, 1297, 1276, 1300, 1306",1284.75,12,"09:58:01, 09:58:02, 09:58:02, 09:58:03, 09:58:03, 09:58:04, 09:58:04, 09:58:05, 09:58:05, 09:58:06, 09:58:06, 09:58:07"
0.35,0.003,0.008,True,1.0,0.00854,2025-09-16 09:58:09.207,2025-09-16 09:58:18.479,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y3mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y3mm_ocr.csv,18,"1296, 1308, 1335, 1349, 1248, 1230, 1294, 1297, 1280, 1218, 1195, 1179",1269.08,12,"09:58:11, 09:58:11, 09:58:12, 09:58:12, 09:58:13, 09:58:13, 09:58:14, 09:58:14, 09:58:15, 09:58:15, 09:58:16, 09:58:16"
0.35,0.004,0.008,True,1.0,0.00894,2025-09-16 09:58:18.482,2025-09-16 09:58:27.736,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y4mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y4mm_ocr.csv,18,"1313, 1263, 1326, 1351, 1305, 1219, 1246, 1284, 1250, 1289, 1256, 1221",1276.92,12,"09:58:20, 09:58:20, 09:58:21, 09:58:21, 09:58:22, 09:58:22, 09:58:23, 09:58:23, 09:58:24, 09:58:24, 09:58:25, 09:58:25"
0.35,0.005,0.008,True,1.0,0.00943,2025-09-16 09:58:27.741,2025-09-16 09:58:37.004,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y5mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y5mm_ocr.csv,18,"1315, 1265, 1216, 1219, 1249, 1233, 1220, 1223, 1226, 1238, 1257, 1261",1243.50,12,"09:58:29, 09:58:30, 09:58:30, 09:58:31, 09:58:31, 09:58:32, 09:58:32, 09:58:33, 09:58:33, 09:58:34, 09:58:34, 09:58:35"
0.35,0.006,0.008,True,1.0,0.01,2025-09-16 09:58:37.007,2025-09-16 09:58:46.270,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y6mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y6mm_ocr.csv,18,"1235, 1251, 1120, 1161, 1137, 1159, 1180, 1194, 1201, 1226, 1222, 1219",1192.08,12,"09:58:38, 09:58:39, 09:58:39, 09:58:40, 09:58:40, 09:58:41, 09:58:41, 09:58:42, 09:58:42, 09:58:43, 09:58:43, 09:58:44"
0.35,0.007,0.008,True,1.0,0.01063,2025-09-16 09:58:46.273,2025-09-16 09:58:55.538,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y7mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y7mm_ocr.csv,18,"1166, 1141, 1074, 986, 986, 1062, 1067, 1040, 1021, 1035, 1032, 1065",1056.25,12,"09:58:48, 09:58:48, 09:58:49, 09:58:49, 09:58:50, 09:58:50, 09:58:51, 09:58:51, 09:58:52, 09:58:52, 09:58:53, 09:58:53"
0.35,0.008,0.008,True,1.0,0.01131,2025-09-16 09:58:55.545,2025-09-16 09:59:04.805,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y8mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y8mm_ocr.csv,18,"999, 898, 909, 876, 830, 871, 880, 847, 860, 853, 861, 885",880.75,12,"09:58:57, 09:58:57, 09:58:58, 09:58:58, 09:58:59, 09:58:59, 09:59:00, 09:59:00, 09:59:01, 09:59:01, 09:59:02, 09:59:02"
0.35,0.009000000000000001,0.008,True,1.0,0.01204,2025-09-16 09:59:04.808,2025-09-16 09:59:14.071,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y9mm/raster_log_2025-09-16 09:35:45.827_z8mm_x350mm_y9mm_ocr.csv,18,"746, 597, 623, 632, 611, 594, 629, 660, 621, 647, 626, 612",633.17,12,"09:59:06, 09:59:07, 09:59:07, 09:59:08, 09:59:08, 09:59:09, 09:59:09, 09:59:10, 09:59:10, 09:59:11, 09:59:11, 09:59:12"
